날짜,총자산,현금,포지션수,리스크
2024-04-01,100000000,100000000,0,0
2024-04-02,98354000,87453200,1,994590
2024-04-03,97893200,97893200,0,0
2024-04-04,97893200,97893200,0,0
2024-04-05,97893200,97893200,0,0
2024-04-08,97893200,97893200,0,0
2024-04-09,97893200,97893200,0,0
2024-04-11,97893200,97893200,0,0
2024-04-12,97893200,97893200,0,0
2024-04-15,97893200,97893200,0,0
2024-04-16,97893200,97893200,0,0
2024-04-17,97893200,97893200,0,0
2024-04-18,97893200,97893200,0,0
2024-04-19,97893200,97893200,0,0
2024-04-22,97893200,97893200,0,0
2024-04-23,97893200,97893200,0,0
2024-04-24,97893200,97893200,0,0
2024-04-25,97893200,97893200,0,0
2024-04-26,97893200,97893200,0,0
2024-04-29,97893200,97893200,0,0
2024-04-30,97893200,97893200,0,0
2024-05-02,97893200,97893200,0,0
2024-05-03,97893200,97893200,0,0
2024-05-07,97893200,97893200,0,0
2024-05-08,97648400,92272400,1,975530
2024-05-09,97629200,92272400,1,975530
2024-05-10,97749200,92272400,1,975530
2024-05-13,97638800,92272400,1,975530
2024-05-14,97634000,92272400,1,975530
2024-05-16,97600400,92272400,1,975530
2024-05-17,97662800,92272400,1,975530
2024-05-20,97725200,92272400,1,975530
2024-05-21,97816400,92272400,1,975530
2024-05-22,97907600,92272400,1,975530
2024-05-23,97720400,92272400,1,975530
2024-05-24,97768400,92272400,1,975530
2024-05-27,97413200,92272400,1,975530
2024-05-28,97336400,92272400,1,975530
2024-05-29,97115600,97115600,0,0
2024-05-30,97115600,97115600,0,0
2024-05-31,97115600,97115600,0,0
2024-06-03,97115600,97115600,0,0
2024-06-04,97115600,97115600,0,0
2024-06-05,97115600,97115600,0,0
2024-06-07,97115600,97115600,0,0
2024-06-10,97115600,97115600,0,0
2024-06-11,97115600,97115600,0,0
2024-06-12,97115600,97115600,0,0
2024-06-13,97080100,83874100,2,1900415
2024-06-14,96302600,83874100,2,1900415
2024-06-17,96315100,83874100,2,1900415
2024-06-18,97488600,83874100,2,1900415
2024-06-19,98487600,83874100,2,1900415
2024-06-20,98235600,83874100,2,1900415
2024-06-21,97961600,83874100,2,1900415
2024-06-24,96996100,83874100,2,1900415
2024-06-25,97267600,83874100,2,1900415
2024-06-26,97110100,83874100,2,1900415
2024-06-27,96788600,83874100,2,1900415
2024-06-28,97472100,83874100,2,1900415
